Name,Role,Organisation,Bucket,Why they fit,Email,Email status,Source
Karin Smyth MP,Minister of State for Health (Secondary Care),Department of Health and Social Care (Labour),national,"Holds the secondary care brief at DHSC; secondary care is where most NHS AI tools are deployed. Ministerial keynote candidate.",karin.smyth.mp@parliament.uk,verified,Hunter Email-Verifier status valid (score 100)
Kanishka Narayan MP,Parliamentary Under-Secretary of State for AI and Online Safety,"Department for Science, Innovation and Technology (Labour)",national,"DSIT minister responsible for AI policy and the AI Opportunities Action Plan, including its £150bn health AI ambition.",narayank@parliament.uk,verified,Hunter Email-Finder status valid (score 95)
Stuart Andrew MP,Shadow Secretary of State for Health and Social Care,UK Parliament (Conservative),national,Official opposition perspective on NHS digital and AI policy; needed for a balanced policy event.,andrews@parliament.uk,verified,Hunter Email-Finder status valid (score 96)
Professor Alastair Denniston,Chair of the National Commission on the Regulation of AI in Healthcare; Professor of Regulatory Science and Innovation,University of Birmingham / University Hospitals Birmingham,national,"Chairs the MHRA-launched National Commission on the Regulation of AI in Healthcare (Sept 2025). Leads CERSI-AI and the NIHR Incubator for AI and Digital Healthcare. Single most senior independent voice on UK AI healthcare regulation.",a.denniston@bham.ac.uk,verified,Hunter Email-Finder status valid (score 98) sourced from research.birmingham.ac.uk
Professor Henrietta Hughes,England Patient Safety Commissioner; Deputy Chair of the National Commission on the Regulation of AI in Healthcare,Patient Safety Commissioner (statutory office),national,Statutory Patient Safety Commissioner and deputy chair of the National Commission on AI in Healthcare; ideal voice on accountability and patient harm.,hhughes@patientsafetycommissioner.org.uk,verified,Hunter Email-Finder status valid accept_all (score 98)
Professor Pearse Keane,Professor of Artificial Medical Intelligence; Consultant Ophthalmologist; Director of INSIGHT Health Data Research Hub,UCL Institute of Ophthalmology / Moorfields Eye Hospital,national,"Led the Moorfields-DeepMind AI study in Nature Medicine and developed RETFound, the first foundation model for eye care. Royal Society honour for AI-driven eyecare in 2025. The definitive UK voice on AI in ophthalmology.",p.keane@ucl.ac.uk,verified,Hunter Email-Finder status valid (score 98) sourced from UCL IoO staff page
Professor Mihaela van der Schaar,"John Humphrey Plummer Professor of Machine Learning, AI and Medicine",University of Cambridge / Alan Turing Institute,national,"Founder and director of the Cambridge Centre for AI in Medicine (CCAIM); Royal Society Fellow (2024). One of the most-cited researchers globally on ML applied to clinical care.",mv472@cam.ac.uk,verified,Hunter Email-Verifier status valid (score 100)
Professor Aldo Faisal,"Chair in AI and Neuroscience; Founding Director, UKRI CDT in AI for Healthcare",Imperial College London,national,"Founding director of the £20m UKRI Centre for Doctoral Training in AI for Healthcare; his AI Clinician tool is currently piloted in NHS intensive care units in NW London for sepsis. Strong voice on real-world NHS deployment.",aldo.faisal@imperial.ac.uk,verified,Hunter Email-Finder status valid (score 98)
Professor Danail Stoyanov,Co-Director of the UCL Hawkes Institute,University College London,national,Co-Director of UCL's flagship medical imaging and AI institute (Hawkes Institute); strong on surgical AI and image-guided intervention.,danail.stoyanov@ucl.ac.uk,verified,Hunter Email-Finder status valid (score 98) sourced from UCL pages
Professor Cathie Sudlow OBE,Director of the Usher Institute; Chair of Neurology and Clinical Epidemiology,University of Edinburgh,national,"Author of the Sudlow Review (Uniting the UK's Health Data, Nov 2024) commissioned by the CMO England and the National Statistician. Definitive voice on the UK health data landscape that AI sits on top of.",cathie.sudlow@ed.ac.uk,verified,Hunter Email-Finder status valid (score 97) sourced from Usher Institute page
Professor Neil Lawrence,DeepMind Professor of Machine Learning; Member of the National Commission on the Regulation of AI in Healthcare,University of Cambridge (Department of Computer Science and Technology),national,Holds the Cambridge DeepMind Chair in ML and sits on the National Commission on AI Regulation in Healthcare; useful for the foundation models and safety angle.,neil.lawrence@cst.cam.ac.uk,accept_all,Hunter Email-Verifier status accept_all (score 71) - deliverable but not individually verifiable
Professor Niels Peek,Professor of Data Science and Healthcare Improvement,"THIS Institute, University of Cambridge",national,Senior figure on health informatics and learning health systems; moved from Manchester to Cambridge's THIS Institute. Useful on the implementation and evaluation side.,niels.peek@thisinstitute.cam.ac.uk,verified,Hunter Email-Finder status valid (score 98) sourced from THIS Institute page
Professor Fiona Gilbert,Royal College of Radiologists AI Lead Advisor; Professor of Radiology,University of Cambridge,national,AI Lead Advisor for the Royal College of Radiologists; senior UK voice on AI in breast and cancer imaging.,fjg28@cam.ac.uk,verified,Hunter Email-Verifier status valid (score 100) sourced from Newnham College and Cambridge BRC pages
Dr Thomas Booth,RCR Faculty Lead for Clinical Radiology AI; Reader in Neuroimaging,King's College London,national,Faculty Lead for Clinical Radiology AI at the Royal College of Radiologists; close to NHS radiology AI deployment.,thomas.booth@kcl.ac.uk,verified,Hunter Email-Finder status valid (score 95) sourced from KCL MRC DTP pages
Professor Mumtaz Patel,President of the Royal College of Physicians,Royal College of Physicians,national,Elected RCP President April 2025; represents the medical workforce-readiness perspective on AI tools entering clinical practice.,mumtaz.patel@rcp.ac.uk,accept_all,Hunter Email-Finder status accept_all (score 78) - generated from RCP pattern
Professor Kamila Hawthorne,Chair of the Royal College of General Practitioners,Royal College of General Practitioners,national,RCGP Chair; in 2025 led the Joint GP IT Committee challenge over the use of patient data to train the Foresight AI model. The voice of primary care on data governance.,kamila.hawthorne@rcgp.org.uk,accept_all,Hunter Email-Finder status accept_all (score 73) - generated from RCGP pattern
Dr Alec Price-Forbes,National Chief Clinical Information Officer for England,NHS England,national,England's national CCIO; drives the clinical-side of the NHS 10-Year Plan and the AI tools entering NHS workflows.,,linkedin,Hunter could not verify against nhs.net (SMTP server blocks verification probes); LinkedIn outreach or NHS England press office recommended
Rob Thompson,"Chief Digital, Data and Technology Officer",DHSC / NHS England,national,Newly appointed CDDTO (March 2026) spanning DHSC and NHS England; most senior digital official in the new combined arrangements.,,linkedin,Hunter could not verify against nhs.net; LinkedIn outreach or NHS England press recommended
Marinos Ioannides,Head of Software and AI Medical Devices,Medicines and Healthcare products Regulatory Agency,national,"Joined the MHRA in Feb 2025 to lead the software and AI medical devices function; oversees the AI Airlock regulatory sandbox.",marinos.ioannides@mhra.gov.uk,pattern,"Hunter Domain-Search confirmed MHRA pattern is {first}.{last}@mhra.gov.uk; mhra.gov.uk blocks individual SMTP verification - pattern-inferred"
Lawrence Tallon,Chief Executive,Medicines and Healthcare products Regulatory Agency,national,MHRA CE since April 2025; sets the tone for the post-AI Airlock regulatory framework due in 2026.,lawrence.tallon@mhra.gov.uk,verified,Hunter Email-Finder status valid (score 98)
Mark Chapman,Director of HealthTech,National Institute for Health and Care Excellence,national,"Leads NICE's HealthTech programme, currently being transformed to fast-track AI and digital tech into the NHS.",mark.chapman@nice.org.uk,verified,Hunter Email-Finder status valid (score 99)
John Edwards,UK Information Commissioner,Information Commissioner's Office,national,"Heads the UK data protection regulator (becoming the Information Commission in April 2026); has spoken extensively in 2025 on health data, AI and consent.",john.edwards@ico.org.uk,pattern,"Hunter could not verify against ico.org.uk (SMTP blocked); pattern-inferred firstname.lastname"
Dame Jennifer Dixon,Chief Executive,The Health Foundation,national,"CEO of the Health Foundation since 2013; the Foundation has published the largest UK survey of public and NHS staff attitudes to AI and a 2024 priorities paper for an AI in health care strategy.",jennifer.dixon@health.org.uk,verified,Hunter Email-Finder status valid (score 96) sourced from health.org.uk
Tim Horton,Assistant Director (Insight and Analysis),The Health Foundation,national,Co-author of the Health Foundation's 'Priorities for an AI in health care strategy' (2024). The practitioner-level expert if Dixon is unavailable.,tim.horton@health.org.uk,verified,Hunter Email-Finder status valid (score 99)
Thea Stein,Chief Executive,Nuffield Trust,national,Joined Nuffield as CEO September 2023 from Leeds Community Healthcare; commentator on NHS reform and the realities of digital transformation in trusts.,thea.stein@nuffieldtrust.org.uk,verified,Hunter Email-Finder status valid (score 96) sourced from nuffieldtrust.org.uk
Sarah Woolnough,Chief Executive,The King's Fund,national,"King's Fund CEO since late 2023; literally just published 'The stuck paradox: what we learned from leaders about AI and digital transformation' (29 April 2026) from 60 health and care leader interviews on AI. Cannot get more current than this for a chair candidate.",swoolnough@kingsfund.org.uk,verified,Hunter Email-Finder status valid (score 80 accept_all)
Siva Anandaciva,"Director of Policy, Events and Partnerships",The King's Fund,national,"Senior King's Fund spokesperson; longstanding NHS policy commentator who would be a strong panel voice if Woolnough is unavailable.",s.anandaciva@kingsfund.org.uk,accept_all,Hunter Email-Finder status accept_all (score 57)
Rachel Power,Chief Executive,The Patients Association,national,"CEO of the Patients Association and chair of the cross-organisational Patient Coalition for AI, Data and Digital Tech in Health. The most direct patient-voice candidate.",rachel@patients-association.com,verified,Hunter Email-Finder status valid (score 98)
Chris McCann,Chief Executive,Healthwatch England,national,Took over as CE on 17 December 2025 following Louise Ansari; brings the statutory patient voice and Healthwatch's nationwide network.,chris.mccann@healthwatch.co.uk,verified,Hunter Email-Finder status valid (score 99) sourced from healthwatch.co.uk
Gaia Marcus,Director,Ada Lovelace Institute,national,"Director of the Ada Lovelace Institute; the leading UK independent voice on responsible AI, including specific work on AI in health and biomedical research.",gmarcus@adalovelaceinstitute.org,verified,Hunter Email-Finder status valid (score 96)
Michelle Mitchell OBE,Chief Executive,Cancer Research UK,national,"CRUK CEO since 2018; public advocate of AI for scan-reading and cancer triage with caveats on consent and trust. Strong charity-sector voice on AI in cancer specifically.",michelle.mitchell@cancer.org.uk,verified,Hunter Email-Finder status valid (score 97)
Michelle Dyson,Chief Executive,Alzheimer's Society,national,New Alzheimer's Society CE (2025); brings the dementia perspective where AI in eye scans and brain imaging is an active research area.,michelle.dyson@alzheimers.org.uk,verified,Hunter Email-Finder status valid (score 99)
Neil Daly,Founder and Chief Executive,Skin Analytics,national,"Founder and CEO of Skin Analytics, whose DERM tool is the only AI autonomous skin cancer triage device NICE has recommended for NHS use (May 2025). 26 NHS sites, 150k patients, 14k cancers detected.",neil@skin-analytics.com,verified,Hunter Email-Finder status valid (score 99)
Dr Michalis Papadakis,Co-Founder and Chief Executive,Brainomix,national,"CEO of Oxford spinout Brainomix, whose stroke AI is now in every English stroke centre and was described in 2025 by The Times and The Guardian as 'revolutionary'.",mpapadakis@brainomix.com,verified,Hunter Email-Finder status valid (score 83 accept_all)
Dr Alan Karthikesalingam,Senior Staff Research Scientist; Healthcare AI lead,Google DeepMind / Google Health UK,national,Leads the biomedical AI research group at Google DeepMind in London; led the Nature / Nature Medicine studies on AI for breast screening and AMD.,,linkedin,"Google does not publish staff emails; Hunter could not generate. LinkedIn outreach recommended."
Dr Dominic King,Clinical Lead,Google DeepMind (Streams),national,Former NHS surgeon now clinical lead on DeepMind's Streams clinical application; understands both sides of the deployment problem.,,linkedin,"Google does not publish staff emails; Hunter could not generate. LinkedIn outreach recommended."
Dr Umang Patel,Chief Clinical Information Officer EMEA,Microsoft UK,national,Microsoft EMEA CCIO and active NHS clinician at Frimley Health; speaks on AI deployment from both vendor and front-line clinical view.,patelumang@microsoft.com,verified,Hunter Email-Finder status valid (score 96)
