country,emb_institution,contacts,contacts_with_email,sources,note
Estonia,State Election Commission,1,1,"csv,db",
Eswatini,Election Commission,1,1,db,Generic name in source data — verify which body this refers to
Ethiopia,National Election Board of Ethiopia - NEBE,14,14,"csv,db",
Ethiopia,NEBE - National Election Board of Ethiopia,1,1,db,
Ethiopia,NATIONAL ELECTION BOARD OF ETIOPIA,1,1,db,
Gabon,Independent and Permanent National Electoral Commission,1,1,csv,
Gabon,Autonomous and Permanent National Electoral Commission,1,1,csv,
Gambia,Independent Electoral Commission,8,8,"csv,db",
Georgia,Central Election Commission of Georgia,8,8,"csv,db",
Georgia,CEC of Georgia,1,1,db,
Ghana,Electoral Commission,4,4,csv,Generic name in source data — verify which body this refers to
Guam,Guam Election Commission,8,8,db,1 generic entry folded in
Guatemala,TRIBUNAL SUPREMO ELECTORAL GUATEMALA,1,1,db,
Guyana,GECOM,1,1,db,
Hungary,National Election Office of Hungary,14,14,"csv,db",
Hungary,National Election Commission,5,5,"csv,db",
Iceland,The National Electoral Commission,2,2,csv,
India,Office of the Chief Electoral,70,69,"csv,db",1 generic entry folded in
India,Office of the Chief Electoral oFFICER,21,21,"csv,db",
India,State Election Commission,13,13,db,
India,"State Election Commission, Uttarakhand",2,2,db,
India,"STATE ELECTION COMMISSION, KARNATAKA, BENGALURU",1,1,db,
India,"State Election Commission, Government of Rajasthan",1,1,db,
India,State Election Commission Haryana,1,1,db,
India,SelfSTATE ELECTION COMMISSION CHHATTISGARH,1,1,db,
India,Chhattisgarh State Election Commission,1,1,db,
Jamaica,Electoral Office of Jamaica,11,11,db,
Jamaica,Electoral Commission of Jamaica,2,2,db,
Kazakhstan,Central Election Commission of the Republic of Kazakhstan,11,11,"csv,db",1 generic entry folded in
Kenya,IEBC,7,7,db,1 generic entry folded in
Kenya,Independent Boundaries and Electoral Commission (IEBC),4,4,csv,
Kenya,National Electoral Commission,2,2,csv,
Kosovo,Central Election Commission of Kosovo,1,1,"csv,db",
Kyrgyzstan,Central Election Commission of Kyrgyzstan,4,4,"csv,db",1 generic entry folded in
Kyrgyzstan,National Election Commission,2,2,"csv,db",
Latvia,Central Election Commission of Latvia,9,9,"csv,db",1 generic entry folded in
Latvia,National Election Commission,3,3,"csv,db",
Lesotho,Independent Electoral Commission,2,2,db,1 generic entry folded in
Libya,High National Election Commission,1,1,csv,
Lithuania,Central Election Commission of Lithuania,6,6,"csv,db",
Lithuania,Council of the Central Election Commission,3,3,db,
Luxembourg,Central Election Commission,2,2,"csv,db",
Madagascar,Independent National Electoral Commission,2,2,csv,
Madagascar,Independent National Electoral Commission (CENI),1,1,csv,
Malawi,Malawi Electoral Commission,5,5,"csv,db",
Mali,Election Commission,1,1,db,Generic name in source data — verify which body this refers to
Malta,Central Election Commission,7,7,"csv,db",1 generic entry folded in
Mauritania,Ceni,1,1,db,
Mauritius,The Office of the Electoral Commissioner,19,19,"csv,db",1 generic entry folded in
Mexico,INE,3,3,db,
Micronesia,FSM National Election office,6,6,db,
Moldova,Central Election Commission of the Republic of Moldova,4,4,"csv,db",
Montenegro,Central Election Commission,2,2,"csv,db",
Montenegro,State Election Commission of Montenegro,1,1,"csv,db",
Montserrat,"Electoral Commission, Montserrat",2,2,db,
Montserrat,Montserrat Electoral Commission,1,1,db,
Morocco,Election Commission,1,1,db,Generic name in source data — verify which body this refers to
Mozambique,National Electoral Commission,1,1,csv,
Namibia,Electoral Commission of Namibia (ECN),12,12,"csv,db",
Nepal,Election Commission,2,2,db,Generic name in source data — verify which body this refers to
Netherlands,Central Election Commission,2,2,"csv,db",
Nigeria,Independent Electoral Commission,3,3,csv,
Nigeria,Independent National Electoral Commission,2,2,"csv,db",
Nigeria,Abia State Independent Electoral Commission,1,1,csv,
Nigeria,Independent Electoral Commission (INEC),1,1,csv,
Nigeria,Independent National Electoral Commission (INEC) - Nigeria,1,1,csv,
North Macedonia,State Election Commission of Republic of North Macedonia,7,7,"csv,db",1 generic entry folded in
Norway,Electoral Commission,4,4,db,Generic name in source data — verify which body this refers to
Papua New Guinea,PNG Electoral Commission,7,7,db,1 generic entry folded in
Philippines,COMELEC,2,2,db,
Poland,National Election Office of Poland,2,2,"csv,db",1 generic entry folded in
Poland,Central Election Commission,1,1,"csv,db",
Portugal,Central Election Commission,1,1,db,
Romania,Permanent Electoral Authority of Romania,2,2,"csv,db",1 generic entry folded in
Romania,Central Election Commission,1,1,"csv,db",
Russian Federation,Central Election Commission of the Russian Federation,4,4,"csv,db",
Russian Federation,CEC of Russia,3,3,db,
Russian Federation,Russian Center for Trianing Election Technology - Central Election Commission,1,1,db,
Rwanda,NATIONAL ELECTORAL COMMISSION,46,46,csv,
Serbia,The Republic Electoral Commission,2,2,"csv,db",
Serbia,State Election Commission,1,1,"csv,db",
Sierra Leone,Electoral Commission for Sierra Leone,5,5,db,
Sierra Leone,Electoral Commission for Sierra,1,1,db,
Slovakia,Department of Elections and Referendum,1,1,"csv,db",
Slovenia,National Electoral Commission,3,3,"csv,db",1 generic entry folded in
Somalia,Somaliland National Electoral Commission,3,3,db,
Somalia,National Electoral Commission-Somaliland,1,1,db,
South Africa,Independent Electoral Commission (IEC),25,25,"csv,db",1 generic entry folded in
South Africa,IEC,1,1,"csv,db",
Spain,Central Election Commission,4,4,"csv,db",1 generic entry folded in
Sri Lanka,Election Commission,7,7,db,Generic name in source data — verify which body this refers to
Sweden,The Swedish Election Authority,3,3,"csv,db",1 generic entry folded in
Switzerland,Election Commission,5,5,"csv,db",Generic name in source data — verify which body this refers to
Tajikistan,Election Commission,3,3,db,Generic name in source data — verify which body this refers to
Tanzania,Independent National Electoral Commission,2,2,db,
Tanzania,Zanzibar Electoral Commission,2,2,db,
Thailand,Office of tge Election Commission,1,1,db,
Timor-Leste,National Election Commission,5,5,db,
Turkey,Supreme Election Council,1,1,db,
Turkey,Supreme Election Council (Türkiye),1,1,db,
Uganda,Namibia - Electoral Commission of Namibia (ECN),1,1,csv,
Uganda,Uganda Electoral Commission,1,1,db,
Ukraine,Central Election Commission,6,6,"csv,db",1 generic entry folded in
United Kingdom,Election Commission,2,2,"csv,db",Generic name in source data — verify which body this refers to
Vanuatu,Vanuatu Electoral commission,1,1,db,
Western Sahara,Election Commission,1,1,db,Generic name in source data — verify which body this refers to
Zimbabwe,Zimbabwe Electoral Commission,1,1,csv,
